Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Last Name,Segment,City Type,Region,State,Postal Code,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-000086,2019/08/04,08-08-2019,Standard Class,CUST-00423,Sai,Bose,Consumer,Tier 1,South,Telangana,801892.0,Electronics,Accessories,45024.65,2.0,0.0,13033.63
ORD-000087,15-05-2022,20-05-2022,Second Class,CUST-00525,Ishaan,Reddy,Consumer,Tier 1,North,Haryana,647199.0,Electronics,Mobiles,7289.64,1.0,0.05,812.51
ORD-000088,03-08-2022,10-08-2022,Standard Class,CUST-00419,Priya,Nair,Consumer,Tier 1,East,West Bengal,669424.0,Grocery,Snacks,709.52,5.0,0.2,71.41
ORD-000089,27-01-2023,03-02-2023,Standard Class,CUST-00501,Vivaan,Rao,Consumer,Tier 2,North,Delhi,434621.0,Electronics,Mobiles,17081.14,1.0,0.2,3436.78
ORD-000090,09-12-2019,11-12-2019,Standard Class,CUST-00575,Vihaan,Menon,Consumer,Tier 1,North,Haryana,,Electronics,Cameras,39764.03,3.0,0.5,2278.39
ORD-000091,05-11-2023,12-11-2023,Same Day,CUST-00088,Ananya,Mukherjee,Corporate,Tier 2,West,Gujarat,305720.0,Grocery,Snacks,537.04,1.0,0.0,59.6
ORD-000092,31-12-2019,05-01-2020,Same Day,CUST-00171,Ishaan,Nair,Consumer,Village,East,Bihar,420365.0,Furniture,Tables,16798.87,2.0,0.0,3050.72
ORD-000093,24-01-2022,30-01-2022,Second Class,CUST-00368,Priya,Mukherjee,SMB,Tier 1,East,Odisha,584999.0,Grocery,Staples,1344.49,2.0,0.2,351.16
ORD-000094,08-01-2022,14-01-2022,First Class,CUST-00037,Vihaan,Nair,Corporate,Tier 2,North,Uttar Pradesh,793610.0,Electronics,Accessories,98587.08,5.0,0.3,16842.64
ORD-000095,28-06-2019,03-07-2019,Second Class,CUST-00513,Myra,Reddy,Corporate,Tier 1,East,Bihar,295883.0,Grocery,Household,1471.35,5.0,0.1,51.17
ORD-000096,15-10-2022,21-10-2022,First Class,CUST-00465,Aditya,Gupta,Corporate,Tier 1,East,West Bengal,459061.0,Furniture,Chairs,11445.17,2.0,0.05,2154.72
ORD-000097,18-08-2020,22-08-2020,Standard Class,CUST-00150,Anika,Menon,Consumer,Tier 1,North,Uttar Pradesh,693865.0,Electronics,Accessories,26554.75,2.0,0.05,245.87
ORD-000098,09-01-2019,14-01-2019,Second Class,CUST-00189,Aadhya,Das,Corporate,Village,South,Karnataka,398005.0,Grocery,Household,1770.48,4.0,0.1,192.96
ORD-000099,10-01-2019,13-01-2019,Second Class,CUST-00431,Krishna,Singh,Consumer,Tier 1,East,Odisha,403775.0,Clothing,Footwear,1177.61,1.0,0.5,78.47
ORD-000100,28-07-2020,02-08-2020,Standard Class,CUST-00269,Arjun,Joshi,SMB,Tier 2,North,Punjab,490295.0,Electronics,Laptops,108292.95,4.0,0.5,9357.68
ORD-000101,31-01-2022,02-02-2022,Standard Class,CUST-00519,Myra,Reddy,SMB,Tier 2,West,Gujarat,315919.0,Furniture,Tables,9330.61,1.0,0.15,2305.53
ORD-000102,26-07-2023,29-07-2023,Standard Class,CUST-00147,Anika,Mukherjee,SMB,Tier 1,North,Delhi,353363.0,Electronics,Laptops,108951.52,4.0,0.0,26753.68
ORD-000103,13-07-2023,18-07-2023,Standard Class,CUST-00058,Vihaan,Bose,SMB,Tier 2,South,Andhra Pradesh,587045.0,Grocery,Staples,247.37,2.0,0.0,39.18
ORD-000104,11-09-2021,14-09-2021,Same Day,CUST-00069,Saanvi,Sharma,Corporate,Tier 2,North,Punjab,739610.0,Grocery,Household,1558.33,5.0,0.0,412.3
ORD-000105,29-04-2021,06-05-2021,Standard Class,CUST-00235,Vihaan,Nair,SMB,Tier 1,North,Haryana,412220.0,Grocery,Staples,293.29,1.0,0.05,50.45
ORD-000106,20-04-2019,25-04-2019,Same Day,CUST-00118,Aditya,Sharma,Corporate,Tier 1,North,Uttar Pradesh,118853.0,Furniture,Storage,20249.91,3.0,0.05,5142.67
ORD-000107,03-04-2021,07-04-2021,First Class,CUST-00358,Anika,Menon,Consumer,Tier 1,West,Maharashtra,638661.0,Clothing,Menswear,3305.13,4.0,0.3,453.62
ORD-000108,25-04-2019,27-04-2019,First Class,CUST-00098,Vivaan,Menon,Consumer,Tier 2,West,Madhya Pradesh,599437.0,Grocery,Beverages,1094.02,4.0,0.0,190.29
ORD-000109,20-03-2019,22-03-2019,Standard Class,CUST-00324,Meera,Sharma,Corporate,Tier 2,North,Delhi,774445.0,Electronics,Accessories,64184.0,4.0,0.15,10564.34
ORD-000110,2019/05/09,10-05-2019,First Class,CUST-00226,Saanvi,Das,SMB,Tier 1,North,Uttar Pradesh,153940.0,Furniture,Furnishings,12872.55,2.0,0.3,489.4
ORD-000111,07-10-2020,13-10-2020,Same Day,CUST-00100,Myra,Verma,Consumer,Tier 1,East,Bihar,365399.0,Clothing,Womenswear,1004.11,1.0,0.1,179.25
ORD-000112,19-09-2023,20-09-2023,Standard Class,CUST-00550,Rohan,Joshi,Corporate,Tier 1,West,Gujarat,285363.0,Electronics,Cameras,21500.34,1.0,0.2,2180.91
ORD-000113,11-05-2022,13-05-2022,,CUST-00179,Anika,Patel,Consumer,Tier 2,West,Maharashtra,642408.0,Grocery,Snacks,1931.14,4.0,0.1,240.23
ORD-000114,18-10-2022,20-10-2022,Standard Class,CUST-00219,Reyansh,Iyer,Consumer,Tier 1,West,Maharashtra,892706.0,Clothing,Footwear,4292.75,5.0,0.1,768.1
ORD-000115,22-12-2019,27-12-2019,Second Class,CUST-00346,Priya,Rao,Consumer,Tier 2,South,Telangana,659937.0,Furniture,Tables,4269.33,1.0,0.1,794.16
ORD-000116,07-09-2021,13-09-2021,,CUST-00334,Aditya,Nair,SMB,Tier 2,East,Bihar,520000.0,Clothing,Footwear,1790.04,2.0,0.5,187.58
ORD-000117,2019/06/24,29-06-2019,Same Day,CUST-00127,Ishaan,Iyer,SMB,Tier 1,East,West Bengal,732518.0,Electronics,Cameras,41189.69,2.0,0.5,6956.44
ORD-000118,17-05-2019,20-05-2019,First Class,CUST-00449,Diya,Singh,Corporate,Tier 2,South,Telangana,330954.0,Grocery,Beverages,2584.93,5.0,0.05,419.64
ORD-000119,28-03-2022,31-03-2022,First Class,CUST-00280,Priya,Bose,Corporate,Tier 1,East,Bihar,189698.0,Electronics,Laptops,32770.53,3.0,0.0,5207.95
ORD-000120,18-03-2020,21-03-2020,Same Day,CUST-00099,Ishaan,Das,Corporate,Village,West,Madhya Pradesh,670590.0,Electronics,Laptops,67149.25,4.0,0.05,7011.69
ORD-000121,03-01-2023,08-01-2023,Same Day,CUST-00178,Aditya,Singh,SMB,Village,West,Gujarat,877086.0,Furniture,Tables,38156.48,5.0,0.0,9502.76
ORD-000122,17-01-2023,20-01-2023,First Class,CUST-00294,Isha,Gupta,SMB,Tier 2,East,Odisha,226824.0,Electronics,Mobiles,37245.96,2.0,0.15,2234.01
ORD-000123,11-12-2019,18-12-2019,Standard Class,CUST-00039,Ishaan,Gupta,Corporate,Village,East,Odisha,212143.0,Electronics,Laptops,35207.52,4.0,0.05,8852.93
ORD-000124,24-11-2019,28-11-2019,First Class,CUST-00385,Priya,Bose,SMB,Tier 1,East,Jharkhand,608245.0,Clothing,Footwear,4991.66,3.0,0.15,909.33
ORD-000125,11-03-2022,12-03-2022,First Class,CUST-00097,Priya,Verma,Corporate,Village,East,Bihar,172137.0,Electronics,Cameras,74787.11,4.0,0.0,19546.22
ORD-000126,19-01-2019,26-01-2019,Standard Class,CUST-00433,Krishna,Rao,Consumer,Tier 1,East,West Bengal,205831.0,Electronics,Laptops,12554.2,2.0,0.3,285.35
ORD-000127,04-08-2022,07-08-2022,Standard Class,CUST-00523,Isha,Singh,Corporate,Tier 2,West,Gujarat,120401.0,Grocery,Staples,196.61,1.0,0.0,59.14
ORD-000128,07-03-2021,10-03-2021,Standard Class,CUST-00561,Kavya,Rao,Corporate,Tier 1,South,Kerala,177525.0,Grocery,Snacks,716.33,3.0,0.0,192.76
ORD-000129,02-01-2023,06-01-2023,First Class,CUST-00479,Priya,Verma,Consumer,Tier 2,West,Maharashtra,425201.0,Clothing,Menswear,6265.55,4.0,0.5,851.96
ORD-000130,26-05-2019,28-05-2019,Same Day,CUST-00134,Diya,Reddy,Corporate,Tier 1,South,Andhra Pradesh,550192.0,Clothing,Menswear,2495.53,3.0,0.05,362.74
ORD-000131,15-10-2019,17-10-2019,Same Day,CUST-00446,Kavya,Rao,Corporate,Village,North,Rajasthan,637509.0,Grocery,Beverages,394.55,1.0,0.1,40.67
ORD-000132,21-06-2023,22-06-2023,First Class,CUST-00465,Aditya,Gupta,Corporate,Tier 1,East,West Bengal,551937.0,Clothing,Menswear,313.82,1.0,0.05,35.39
ORD-000133,23-09-2020,25-09-2020,Second Class,CUST-00518,Ishaan,Bose,Consumer,Tier 2,South,Telangana,351759.0,Furniture,Chairs,9439.07,3.0,0.0,1392.35
ORD-000134,21-08-2021,22-08-2021,Second Class,CUST-00389,Ishaan,Menon,Corporate,Tier 1,North,Uttar Pradesh,,Electronics,Cameras,86608.33,5.0,0.3,10617.17
ORD-000135,07-06-2020,08-06-2020,Same Day,CUST-00179,Anika,Patel,Consumer,Tier 2,West,Maharashtra,545465.0,Grocery,Staples,2361.17,5.0,0.2,446.4
ORD-000136,24-05-2023,25-05-2023,First Class,CUST-00330,Aditya,Joshi,Consumer,Tier 2,South,Karnataka,297737.0,Electronics,Laptops,39063.08,2.0,0.2,5220.78
ORD-000137,28-03-2022,03-04-2022,Same Day,CUST-00046,Sai,Menon,SMB,Tier 1,West,Madhya Pradesh,518738.0,Clothing,Womenswear,1582.24,1.0,0.1,323.0
ORD-000138,13-08-2022,14-08-2022,Standard Class,CUST-00488,Priya,Verma,SMB,Tier 1,North,Delhi,530719.0,Grocery,Snacks,1631.48,4.0,0.2,205.55
ORD-000139,15-04-2019,16-04-2019,Second Class,CUST-00039,Ishaan,Gupta,Corporate,Village,East,Odisha,373814.0,Grocery,Snacks,2547.49,5.0,0.1,370.07
ORD-000140,16-06-2022,23-06-2022,Same Day,CUST-00093,Myra,Nair,Corporate,Tier 2,East,Jharkhand,821078.0,Grocery,Household,861.6,3.0,0.3,91.91
ORD-000141,11-08-2020,15-08-2020,Same Day,CUST-00595,Vihaan,Sharma,Corporate,Tier 2,South,Telangana,311226.0,Furniture,Tables,1255.65,1.0,0.05,126.13
ORD-000142,30-06-2022,06-07-2022,First Class,CUST-00219,Reyansh,Iyer,Consumer,Tier 1,West,Maharashtra,,Electronics,Accessories,13869.14,2.0,0.05,814.57
ORD-000143,08-09-2023,10-09-2023,Second Class,CUST-00381,Ishaan,Chatterjee,Consumer,Village,South,Tamil Nadu,733477.0,Grocery,Beverages,2158.1,5.0,0.0,712.76
ORD-000144,09-05-2019,14-05-2019,Second Class,CUST-00005,Ananya,Patel,Corporate,Tier 1,North,Delhi,752638.0,Electronics,Cameras,18726.12,2.0,0.05,744.89
ORD-000145,28-02-2021,06-03-2021,Second Class,CUST-00226,Saanvi,Das,SMB,Tier 1,North,Uttar Pradesh,845687.0,Clothing,Kidswear,4961.89,5.0,0.0,1220.6
ORD-000146,30-12-2019,05-01-2020,,CUST-00424,Rohan,Bose,Consumer,Tier 1,East,Bihar,593947.0,Clothing,Kidswear,3803.74,2.0,0.2,667.86
ORD-000147,2019/08/24,29-08-2019,Same Day,CUST-00318,Meera,Bose,Consumer,Tier 2,North,Haryana,706638.0,Clothing,Womenswear,3677.75,5.0,0.2,556.7
ORD-000148,03-11-2023,09-11-2023,First Class,CUST-00249,Ananya,Verma,Consumer,Tier 1,North,Haryana,589096.0,Clothing,Kidswear,2382.07,1.0,0.15,425.24
